intervalles,annee,valeur
p0p10,1970,2811.1
p0p10,1971,2949.8
p0p10,1972,3107.5
p0p10,1973,3215.4
p0p10,1974,3191.9
p0p10,1975,3155
p0p10,1976,3372.4
p0p10,1977,3611.9
p0p10,1978,3783.9
p0p10,1979,3934
p0p10,1980,3886.2
p0p10,1981,3873.6
p0p10,1982,3944.1
p0p10,1983,4015.2
p0p10,1984,4047.5
p0p10,1985,4069.1
p0p10,1986,4063.4
p0p10,1987,4142.6
p0p10,1988,4195.8
p0p10,1989,3877
p0p10,1990,3499.1
p0p10,1991,3025.1
p0p10,1992,2993.8
p0p10,1993,2856.3
p0p10,1994,2681.7
p0p10,1995,2728.9
p0p10,1996,2720.8
p0p10,1997,2730.1
p0p10,1998,2871.1
p0p10,1999,3012.2
p0p10,2000,2879.3
p0p10,2001,2962.6
p0p10,2002,3008.8
p0p10,2003,3029.9
p0p10,2004,3137.5
p0p10,2005,3386.9
p0p10,2006,3382.5
p0p10,2007,3221.7
p0p10,2008,2892.9
p0p10,2009,2492.3
p0p10,2010,1860.7
p0p10,2011,1982.9
p0p10,2012,2057.3
p0p10,2013,2096.2
p0p10,2014,2109.1
p10p20,1970,4718.2
p10p20,1971,5025.1
p10p20,1972,5373.1
p10p20,1973,5645.9
p10p20,1974,5693.2
p10p20,1975,5714.6
p10p20,1976,6091.4
p10p20,1977,6526.3
p10p20,1978,6836.4
p10p20,1979,7095.6
p10p20,1980,7022.9
p10p20,1981,7011.7
p10p20,1982,7145.7
p10p20,1983,7289.5
p10p20,1984,7380
p10p20,1985,7364.5
p10p20,1986,7298.7
p10p20,1987,7370.6
p10p20,1988,7382.4
p10p20,1989,7232.7
p10p20,1990,6966.7
p10p20,1991,6515.6
p10p20,1992,6138.7
p10p20,1993,5978.6
p10p20,1994,5647
p10p20,1995,5785.7
p10p20,1996,5643.8
p10p20,1997,5579.6
p10p20,1998,5730.8
p10p20,1999,6204.2
p10p20,2000,6167.6
p10p20,2001,6375.4
p10p20,2002,6583.2
p10p20,2003,6691.2
p10p20,2004,6996
p10p20,2005,7401
p10p20,2006,7334.6
p10p20,2007,7077.8
p10p20,2008,6652.3
p10p20,2009,6009.9
p10p20,2010,4798.3
p10p20,2011,5103.4
p10p20,2012,5265
p10p20,2013,5364.3
p10p20,2014,5401.5
p20p30,1970,6503.5
p20p30,1971,7012.8
p20p30,1972,7590.3
p20p30,1973,8078.4
p20p30,1974,8252.8
p20p30,1975,8391.4
